raw_transaction_string,category_label
CABLE,Utilities
DEBIT PURCHASE PHARMACY,Health/Fitness
WATER SERVICE,Utilities
CARD PURCHASE WHOLE FOODS T:071098,Groceries
POS SALE MCDONALDS,Coffee/Dining
EFT TRADER JOES,Groceries
SALARY,Transfer/Income
POS SALE AMAZON.COM LOC:EAST1661,Shopping
EFT RETAIL,Shopping
DEBIT PURCHASE SHELL GAS,Fuel/Gas
SALARY T:071098,Transfer/Income
POS SALE APPLE STORE,Shopping
POS SALE LYFT,Transport
EFT CAFE LOC:EAST1661,Coffee/Dining
TRANSFER ID:GEWT57297732507583,Transfer/Income
VENMO CASH IN,Transfer/Income
EFT APPLE STORE,Shopping
VISA POS CAFE,Coffee/Dining
EFT TRADER JOES,Groceries
VISA POS RALPHS,Groceries
CARD PURCHASE MCDONALDS,Coffee/Dining
AEP,Utilities
VISA POS RESTAURANT,Coffee/Dining
CARD PURCHASE RETAIL,Shopping
CARD PURCHASE CHEVRON,Fuel/Gas
EFT RALPHS LOC:EAST1661,Groceries
CARD PURCHASE STARBUCKS LOC:EAST1661,Coffee/Dining
DEBIT PURCHASE AMAZON.COM,Shopping
VISA POS WHOLE FOODS ID:GEWT57297732507583,Groceries
EFT RESTAURANT,Coffee/Dining
DEBIT PURCHASE CAFE T:071098,Coffee/Dining
CARD PURCHASE CAFE,Coffee/Dining
DEBIT PURCHASE SUSHI ID:GEWT57297732507583,Coffee/Dining
EFT GYM MEMBERSHIP,Health/Fitness
DEBIT PURCHASE GAS STATION,Fuel/Gas
CARD PURCHASE WHOLE FOODS ID:GEWT57297732507583,Groceries
EFT TRADER JOES,Groceries
POS SALE BEST BUY,Shopping
POS SALE RESTAURANT,Coffee/Dining
VISA POS GROCERY,Groceries
VISA POS MARKET,Groceries
EFT METRO RAIL,Transport
EFT CAFE 836,Coffee/Dining
AEP 836,Utilities
VISA POS RESTAURANT,Coffee/Dining
VENMO CASH IN,Transfer/Income
VISA POS SHELL GAS T:071098,Fuel/Gas
VENMO CASH IN,Transfer/Income
CARD PURCHASE SUSHI T:071098,Coffee/Dining
CARD PURCHASE GAS STATION T:071098,Fuel/Gas
POS SALE TARGET ID:GEWT57297732507583,Shopping
POS SALE CAFE,Coffee/Dining
POS SALE WHOLE FOODS,Groceries
VISA POS BEST BUY T:071098,Shopping
TRANSFER LOC:EAST1661,Transfer/Income
DEBIT PURCHASE AMAZON.COM LOC:EAST1661,Shopping
DEBIT PURCHASE TRADER JOES,Groceries
POS SALE TRADER JOES,Groceries
DEBIT PURCHASE WHOLE FOODS ID:GEWT57297732507583,Groceries
